Time,Voltage
0,0.0228985
0.000976563,0.0443033
0.00195313,0.0143181
0.00292969,-0.0415551
0.00390625,-0.0344067
0.00488281,0.010104
0.00585938,0.0165846
0.00683594,-0.0048432
0.0078125,-0.0354407
0.00878906,-0.0651316
0.00976563,-0.0798662
0.0107422,-0.105137
0.0117188,-0.158291
0.0126953,-0.178348
0.0136719,-0.125965
0.0146484,-0.0662002
0.015625,-0.0542917
0.0166016,-0.0675085
0.0175781,-0.0630014
0.0185547,-0.0324261
0.0195313,-0.0175134
0.0205078,-0.0520918
0.0214844,-0.0891206
0.0224609,-0.0636163
0.0234375,-0.0122455
0.0244141,-0.00147429
0.0253906,-0.0178646
0.0263672,-0.0425342
0.0273438,-0.0669798
0.0283203,-0.0747864
0.0292969,-0.112331
0.0302734,-0.188595
0.03125,-0.202943
0.0322266,-0.148509
0.0332031,-0.125951
0.0341797,-0.132698
0.0351563,-0.11598
0.0361328,-0.0842271
0.0371094,-0.0516582
0.0380859,-0.0393656
0.0390625,-0.0647929
0.0400391,-0.0803306
0.0410156,-0.0351864
0.0419922,0.0142004
0.0429688,0.0106912
0.0439453,0.00035503
0.0449219,-0.00468499
0.0458984,-0.0326195
0.046875,-0.0761667
0.0478516,-0.129495
0.0488281,-0.196249
0.0498047,-0.216201
0.0507813,-0.100142
0.0517578,0.0104871
0.0527344,-0.0316519
0.0537109,-0.047211
0.0546875,0.016093
0.0556641,0.000473021
0.0566406,-0.0517305
0.0576172,-0.0702668
0.0585938,-0.0992113
0.0595703,-0.122507
0.0605469,-0.135536
0.0615234,-0.183941
0.0625,-0.22368
0.0634766,-0.185042
0.0644531,-0.114443
0.0654297,-0.0794635
0.0664063,-0.0602965
0.0673828,-0.0355592
0.0683594,-0.00743845
0.0693359,0.0178455
0.0703125,-0.0114593
0.0712891,-0.0788416
0.0722656,-0.0768715
0.0732422,-0.0222064
0.0742188,-0.0139808
0.0751953,-0.0335242
0.0761719,-0.0403418
0.0771484,-0.0610107
0.078125,-0.0809883
0.0791016,-0.0962586
0.0800781,-0.147034
0.0810547,-0.180104
0.0820313,-0.138314
0.0830078,-0.0965742
0.0839844,-0.0991999
0.0849609,-0.0875752
0.0859375,-0.0619394
0.0869141,-0.0536128
0.0878906,-0.0399537
0.0888672,-0.0496721
0.0898438,-0.0940226
0.0908203,-0.0728855
0.0917969,0.00324249
0.0927734,0.014555
0.09375,-0.0120729
0.0947266,-0.0123764
0.0957031,-0.0205393
0.0966797,-0.0392392
0.0976563,-0.0772309
0.0986328,-0.153555
0.0996094,-0.175746
0.100586,-0.137075
0.101563,-0.118508
